Old_Page,Matched_New_Page,Similarity_Score,Status
1,1,0.762,Medium
3,3,1.0,High Confidence
4,4,0.7128,Medium
5,5,0.5515,Medium
6,6,0.7071,Medium
7,7,0.5427,Medium
9,9,0.9788,High Confidence
10,10,0.9874,High Confidence
11,11,0.9837,High Confidence
12,12,0.9882,High Confidence
13,13,0.9538,High Confidence
14,14,0.9111,High Confidence
15,15,0.8896,High Confidence
16,16,0.8643,High Confidence
17,17,0.8399,High Confidence
18,18,0.8368,High Confidence
19,19,0.9345,High Confidence
21,21,1.0,High Confidence
23,23,0.7562,Medium
24,24,0.9447,High Confidence
25,25,0.9871,High Confidence
26,26,0.8844,High Confidence
27,27,0.9356,High Confidence
28,28,0.9241,High Confidence
29,29,1.0,High Confidence
30,30,1.0,High Confidence
31,31,0.9951,High Confidence
32,32,1.0,High Confidence
33,33,1.0,High Confidence
34,34,1.0,High Confidence
35,35,1.0,High Confidence
36,36,1.0,High Confidence
37,37,1.0,High Confidence
38,38,1.0,High Confidence
39,39,1.0,High Confidence
40,40,1.0,High Confidence
41,41,0.9765,High Confidence
42,42,0.5931,Medium
43,44,0.777,Medium
44,44,0.3517,Low Confidence
45,45,0.7151,Medium
46,46,0.7664,Medium
47,47,0.7275,Medium
48,48,0.699,Medium
49,49,0.7682,Medium
50,50,0.7668,Medium
51,51,0.9094,High Confidence
52,52,0.7673,Medium
53,53,0.6968,Medium
54,54,0.7842,Medium
55,55,0.7111,Medium
57,57,1.0,High Confidence
59,59,1.0,High Confidence
61,61,1.0,High Confidence
62,62,1.0,High Confidence
63,63,0.9806,High Confidence
64,64,1.0,High Confidence
65,65,1.0,High Confidence
66,66,1.0,High Confidence
67,67,0.8994,High Confidence
68,68,1.0,High Confidence
69,69,1.0,High Confidence
71,71,0.9851,High Confidence
72,72,0.9084,High Confidence
73,73,0.9438,High Confidence
74,74,0.9851,High Confidence
75,75,0.9361,High Confidence
76,76,0.8251,High Confidence
77,77,0.9955,High Confidence
78,78,0.9778,High Confidence
79,79,0.9279,High Confidence
80,80,0.806,High Confidence
81,81,0.6399,Medium
82,82,1.0,High Confidence
83,83,0.9993,High Confidence
84,84,1.0,High Confidence
85,85,1.0,High Confidence
86,86,0.9001,High Confidence
87,87,0.9403,High Confidence
88,88,1.0,High Confidence
89,89,0.8629,High Confidence
90,98,0.3098,Low Confidence
91,95,0.8822,High Confidence
92,96,0.9808,High Confidence
93,97,0.9771,High Confidence
94,98,0.9293,High Confidence
95,99,0.9442,High Confidence
96,100,0.9818,High Confidence
97,101,1.0,High Confidence
98,102,0.9804,High Confidence
99,103,0.9936,High Confidence
100,104,0.9481,High Confidence
101,105,0.9547,High Confidence
102,106,0.9769,High Confidence
103,107,0.9941,High Confidence
104,108,0.9924,High Confidence
105,109,0.9699,High Confidence
106,110,0.9949,High Confidence
107,111,0.9958,High Confidence
108,113,0.932,High Confidence
109,114,0.9693,High Confidence
110,115,0.3373,Low Confidence
111,116,0.6314,Medium
112,117,0.9704,High Confidence
113,118,0.9815,High Confidence
114,119,0.9212,High Confidence
115,120,0.8352,High Confidence
116,121,0.8278,High Confidence
117,122,0.8463,High Confidence
118,123,1.0,High Confidence
119,124,1.0,High Confidence
120,125,1.0,High Confidence
121,126,1.0,High Confidence
122,127,0.9903,High Confidence
123,128,0.9827,High Confidence
124,129,0.9793,High Confidence
125,130,0.9711,High Confidence
126,131,0.9819,High Confidence
127,132,0.9511,High Confidence
129,133,1.0,High Confidence
131,135,0.6576,Medium
132,136,0.6371,Medium
133,137,1.0,High Confidence
134,138,0.9595,High Confidence
135,139,0.9852,High Confidence
136,140,0.985,High Confidence
137,141,0.9302,High Confidence
138,142,1.0,High Confidence
