Old_Page,Matched_New_Page,Similarity_Score,Status
1,1,0.712,Medium
3,3,1.0,High Confidence
4,4,0.5763,Medium
5,5,0.5518,Medium
6,6,0.7054,Medium
7,7,0.2952,Low Confidence
9,9,0.8825,High Confidence
10,10,0.9323,High Confidence
11,11,0.9901,High Confidence
12,12,0.9855,High Confidence
13,13,0.9542,High Confidence
14,14,0.8874,High Confidence
15,15,0.8885,High Confidence
16,16,0.8643,High Confidence
17,17,0.8401,High Confidence
18,18,0.8237,High Confidence
19,19,0.9351,High Confidence
21,21,1.0,High Confidence
23,23,0.612,Medium
24,24,0.8417,High Confidence
25,25,0.9306,High Confidence
26,26,0.8048,High Confidence
27,27,0.9038,High Confidence
28,28,0.8541,High Confidence
29,29,1.0,High Confidence
30,30,0.9766,High Confidence
31,31,0.9935,High Confidence
32,32,1.0,High Confidence
33,33,1.0,High Confidence
34,34,0.9313,High Confidence
35,35,1.0,High Confidence
36,36,1.0,High Confidence
37,37,0.9569,High Confidence
38,38,0.8342,High Confidence
39,39,0.9692,High Confidence
40,40,1.0,High Confidence
41,41,0.9201,High Confidence
42,42,0.5963,Medium
43,44,0.6721,Medium
44,44,0.3844,Low Confidence
45,45,0.3964,Low Confidence
46,46,0.7694,Medium
47,47,0.6417,Medium
48,48,0.5731,Medium
49,49,0.679,Medium
50,50,0.7464,Medium
51,51,0.8693,High Confidence
52,52,0.7158,Medium
53,53,0.6967,Medium
54,54,0.7841,Medium
55,55,0.6385,Medium
57,57,1.0,High Confidence
59,59,1.0,High Confidence
61,61,1.0,High Confidence
62,62,1.0,High Confidence
63,63,0.9806,High Confidence
64,64,1.0,High Confidence
65,65,1.0,High Confidence
66,66,0.9262,High Confidence
67,67,0.7429,Medium
68,68,1.0,High Confidence
69,69,1.0,High Confidence
71,71,0.8191,High Confidence
72,72,0.6837,Medium
73,73,0.9626,High Confidence
74,74,0.9834,High Confidence
75,75,0.9363,High Confidence
76,76,0.8036,High Confidence
77,77,0.9735,High Confidence
78,78,0.9556,High Confidence
79,79,0.8934,High Confidence
80,80,0.7809,Medium
81,81,0.5407,Medium
82,82,0.9753,High Confidence
83,83,0.9846,High Confidence
84,84,1.0,High Confidence
85,85,0.9857,High Confidence
86,86,0.6463,Medium
87,87,0.7709,Medium
88,88,0.9288,High Confidence
89,89,0.5112,Medium
90,98,0.3023,Low Confidence
91,95,0.7345,Medium
92,96,0.9808,High Confidence
93,97,0.9,High Confidence
94,98,0.8912,High Confidence
95,99,0.8551,High Confidence
96,100,0.9046,High Confidence
97,101,1.0,High Confidence
98,102,0.8649,High Confidence
99,103,0.9569,High Confidence
100,104,0.8834,High Confidence
101,105,0.769,Medium
102,106,0.9328,High Confidence
103,107,0.9825,High Confidence
104,108,0.9609,High Confidence
105,109,0.875,High Confidence
106,110,0.8685,High Confidence
107,111,0.9234,High Confidence
108,113,0.8981,High Confidence
109,114,0.9084,High Confidence
110,115,0.2714,Low Confidence
111,116,0.4138,Low Confidence
112,117,0.9089,High Confidence
113,118,0.9636,High Confidence
114,119,0.8582,High Confidence
115,120,0.8129,High Confidence
116,121,0.8044,High Confidence
117,122,0.7417,Medium
118,123,1.0,High Confidence
119,124,0.9472,High Confidence
120,125,0.9756,High Confidence
121,126,0.9571,High Confidence
122,127,0.9043,High Confidence
123,128,0.912,High Confidence
124,129,0.8989,High Confidence
125,130,0.8427,High Confidence
126,131,0.8573,High Confidence
127,132,0.9173,High Confidence
129,133,1.0,High Confidence
131,135,0.5445,Medium
132,136,0.4356,Low Confidence
133,137,1.0,High Confidence
134,138,0.9076,High Confidence
135,139,0.7838,Medium
136,140,0.8841,High Confidence
137,141,0.8051,High Confidence
138,142,1.0,High Confidence
139,143,0.8633,High Confidence
140,144,0.8105,High Confidence
141,145,0.9286,High Confidence
142,146,1.0,High Confidence
143,147,0.9305,High Confidence
144,148,1.0,High Confidence
145,149,0.9305,High Confidence
146,150,0.7704,Medium
147,151,0.9368,High Confidence
148,152,0.9953,High Confidence
149,153,0.9146,High Confidence
150,154,0.9713,High Confidence
151,155,1.0,High Confidence
152,156,0.9144,High Confidence
153,157,0.9849,High Confidence
154,158,0.6036,Medium
155,159,0.9162,High Confidence
156,163,0.9233,High Confidence
157,164,0.9948,High Confidence
158,165,0.8813,High Confidence
159,166,0.2625,Low Confidence
160,167,0.1599,Low Confidence
161,168,0.9327,High Confidence
162,169,1.0,High Confidence
163,170,0.9515,High Confidence
164,171,0.9982,High Confidence
165,172,0.996,High Confidence
166,173,0.967,High Confidence
167,174,1.0,High Confidence
168,175,0.7729,Medium
169,176,0.9954,High Confidence
170,177,1.0,High Confidence
171,179,1.0,High Confidence
173,181,0.8553,High Confidence
174,182,0.7555,Medium
175,183,0.6206,Medium
176,184,0.8079,High Confidence
177,185,0.5625,Medium
178,186,0.9366,High Confidence
179,187,0.4518,Low Confidence
180,188,0.6454,Medium
181,189,0.7514,Medium
182,190,0.7248,Medium
183,189,0.699,Medium
184,192,0.9614,High Confidence
185,193,0.9368,High Confidence
186,194,1.0,High Confidence
187,195,0.982,High Confidence
188,196,0.9618,High Confidence
189,197,0.9596,High Confidence
190,198,0.9938,High Confidence
191,199,0.5976,Medium
192,200,0.6886,Medium
193,201,0.851,High Confidence
194,203,0.8554,High Confidence
195,203,0.868,High Confidence
196,205,0.9731,High Confidence
197,206,0.901,High Confidence
198,207,0.8218,High Confidence
199,208,0.9277,High Confidence
200,209,0.9734,High Confidence
201,210,0.8943,High Confidence
202,211,0.8204,High Confidence
203,212,0.9352,High Confidence
204,213,0.9206,High Confidence
205,214,0.9599,High Confidence
206,215,0.9056,High Confidence
207,216,0.9623,High Confidence
208,217,1.0,High Confidence
209,218,1.0,High Confidence
210,219,0.9838,High Confidence
211,220,0.9588,High Confidence
212,221,0.9503,High Confidence
213,222,0.9042,High Confidence
214,223,0.9039,High Confidence
215,224,0.9979,High Confidence
216,225,1.0,High Confidence
217,226,0.8431,High Confidence
218,227,0.9498,High Confidence
219,228,0.8292,High Confidence
220,229,0.906,High Confidence
221,230,0.8256,High Confidence
222,231,0.8208,High Confidence
223,232,1.0,High Confidence
224,233,0.9971,High Confidence
225,234,1.0,High Confidence
226,235,0.898,High Confidence
227,236,0.9658,High Confidence
228,237,0.9406,High Confidence
229,238,1.0,High Confidence
230,239,1.0,High Confidence
231,240,0.9549,High Confidence
232,241,0.9343,High Confidence
233,242,0.9919,High Confidence
234,243,0.9798,High Confidence
235,244,0.8357,High Confidence
236,245,0.9808,High Confidence
237,246,0.9503,High Confidence
238,247,0.8822,High Confidence
239,248,0.7894,Medium
240,249,0.9793,High Confidence
241,250,0.8115,High Confidence
242,251,0.9488,High Confidence
243,252,0.806,High Confidence
244,253,0.9863,High Confidence
245,254,0.9118,High Confidence
246,255,0.7769,Medium
247,256,0.9563,High Confidence
248,257,0.8066,High Confidence
249,258,0.9344,High Confidence
250,259,0.8005,High Confidence
251,260,0.9252,High Confidence
252,261,0.9841,High Confidence
253,262,0.9785,High Confidence
254,263,0.7736,Medium
255,264,1.0,High Confidence
256,265,0.9485,High Confidence
